id	name	mean_negative	mean_positive	logFC	P_value	FDR
ENSG00000001084.9	GCLC	10.3433656557128	11.873675903481	0.199060935358948	0.0349165857770359	0.836916970856102
ENSG00000002079.11	MYH16	0.148828159922771	0.207970208944262	0.482729355772253	0.0222245739739726	0.771115787314514
ENSG00000004897.10	CDC27	10.0641231396646	11.3094885306151	0.168312205659474	0.0379332516925225	0.84398016200366
ENSG00000004975.10	DVL2	6.98382898927965	8.93434641935436	0.35534396202119	0.00238607026328618	0.740911062980846
ENSG00000005100.11	DHX33	5.34013884921487	6.09083066916872	0.189761742711919	0.0217362763986773	0.771115787314514
ENSG00000005102.11	MEOX1	2.3259301119599	1.48432992035014	-0.647995954483956	0.01794931531256	0.769566648983025
ENSG00000005243.8	COPZ2	13.0413953997671	15.4792032464549	0.247232971319661	0.0428723475287755	0.855184394105927
ENSG00000005448.15	WDR54	6.07402303831726	7.30174662544359	0.265589226792647	0.0183625725440061	0.771115787314514
ENSG00000006071.10	ABCC8	0.0155540425009288	0.0138552891517462	-0.166852766689585	0.0359912473411549	0.842994594859099
ENSG00000007306.13	CEACAM7	4.56810714837851	1.25485944468533	-1.86407071192273	0.0145634402509977	0.757549003715409
ENSG00000007312.11	CD79B	2.25149385939907	1.73208531488354	-0.378372550348035	0.0387211560240287	0.848922101342337
ENSG00000007341.17	ST7L	0.968603881569974	1.08612453770136	0.165210846075861	0.0391202949826519	0.85120299153187
ENSG00000007908.14	SELE	3.9407545374262	1.50482862471007	-1.38887269232697	0.0222245739739726	0.771115787314514
ENSG00000009790.13	TRAF3IP3	0.94515046365169	0.685551459215488	-0.463279055715902	0.0219792454983654	0.771115787314514
ENSG00000009830.10	POMT2	2.12091151351797	2.37231887979795	0.161613514052781	0.0219792454983654	0.771115787314514
ENSG00000009950.14	MLXIPL	0.118643487293605	0.280847619953499	1.24315466810039	0.0331365437667701	0.827870197967759
ENSG00000011566.13	MAP4K3	3.98267721467628	4.37633055053949	0.135983153206725	0.0356508735254844	0.840712960152872
ENSG00000012061.14	ERCC1	9.32262585829044	7.99591437052077	-0.221473346831402	0.0151012489643108	0.757549003715409
ENSG00000012963.12	UBR7	12.703685643337	14.3203682123149	0.172821470263432	0.0250842650255735	0.774765481768495
ENSG00000014914.18	MTMR11	2.30986533584407	2.91143623661015	0.333922277049932	0.0459969901315758	0.855184394105927
ENSG00000018510.11	AGPS	8.22836888868451	9.5804604668841	0.219488524818475	0.00301984924194004	0.740911062980846
ENSG00000020426.9	MNAT1	4.86724553887301	6.31828329520974	0.376427068820445	0.00182341500856969	0.740911062980846
ENSG00000020922.11	MRE11A	3.10700168748013	2.68818541377103	-0.208890375628995	0.0450852493761462	0.855184394105927
ENSG00000022277.11	RTFDC1	23.0270792853823	24.4248913810179	0.0850207126457452	0.0276557932025919	0.788484019055879
ENSG00000022976.14	ZNF839	0.888432820297487	1.13667744337385	0.35548832190043	0.00255851296446622	0.740911062980846
ENSG00000023191.15	RNH1	33.8559476955283	28.0736941924718	-0.270190384428332	0.000420629479221743	0.551707733753557
ENSG00000023445.12	BIRC3	9.97869675032342	7.37324109812841	-0.436552474756542	0.0061043704317442	0.757549003715409
ENSG00000023608.4	SNAPC1	6.27808516375611	9.9199834878159	0.660013119631424	0.000797025011537855	0.623638862152891
ENSG00000023839.9	ABCC2	0.233555595064355	0.265863868980946	0.186921720818922	0.0145819815799048	0.757549003715409
ENSG00000025423.10	HSD17B6	1.05213153390213	1.3702028189291	0.381074381572628	0.00729517480985547	0.757549003715409
ENSG00000026559.12	KCNG1	0.58341342708415	0.636744392777741	0.126195760257386	0.0483444948901051	0.855184394105927
ENSG00000029559.6	IBSP	0.86895098339343	1.27308567460867	0.550982807739709	0.037541179447911	0.84398016200366
ENSG00000029993.13	HMGB3	15.9366850305258	19.8874698040269	0.319508172669627	0.0139141431330133	0.757549003715409
ENSG00000036530.7	CYP46A1	0.0455687611851767	0.0538047187817256	0.239687555037024	0.00557725704822817	0.744433024811663
ENSG00000037042.8	TUBG2	3.40197749520416	4.36872247895256	0.360837864864688	0.000727135596769973	0.585209115931857
ENSG00000038532.13	CLEC16A	3.70587581652429	2.99484592150144	-0.307332756319039	0.0131174141682214	0.757549003715409
ENSG00000040608.12	RTN4R	2.62846316693455	3.44304089838936	0.38946379981802	0.0125093580120582	0.757549003715409
ENSG00000040633.11	PHF23	15.5136327958347	17.8519906740692	0.202548399136534	0.0201000208501931	0.771115787314514
ENSG00000041982.13	TNC	103.770298159349	161.267345271324	0.636060774602909	0.0282571688885372	0.792396278583135
ENSG00000042088.12	TDP1	3.37079379047451	3.8601920570477	0.195584255394044	0.00406722963028996	0.744433024811663
ENSG00000042317.15	SPATA7	0.50231182863024	0.723854773433872	0.527117030723577	0.00136498549462204	0.707627576605621
ENSG00000043514.14	TRIT1	7.77447570518681	9.48070923382462	0.286249602325072	0.00155623920631829	0.708603962051408
ENSG00000046604.11	DSG2	31.2443471846053	40.1829234271587	0.362987331314474	0.0242743793894022	0.771115787314514
